match_id,match_date,round_num,map_name,hero_bans,team,player,Damage Dealt,Damage Mitigated/Eliminations,Environmental Kills/10m,Damage as percent of total output,Time Played,Result,Solo Kills/Deaths Ratio,Healing Done/Eliminations,Environmental Kills,Damage Mitigated/Deaths,Damage Mitigated as percent of total output,Healing Done as percent of total output,Objective Time,Damage Dealt/(Eliminations + Assists),Damage Mitigated/(Eliminations + Assists),Damage Dealt/Eliminations,Damage Dealt/10m,Final Blows/(Eliminations + Assists),Multi Kills/10m,K/D Ratio,Solo Kills/Damage Dealt Ratio,Solo Kills/10m,Damage Mitigated,Final Blows/Eliminations,Deaths/10m,Solo Kills/(Eliminations + Assists) Ratio,Eliminations/10m,Solo Kills/Eliminations Ratio,Healing Done/Deaths,Objective Time/10m,Solo Kills,Assists/10m,Assists,Healing Done,Multi Kills,Deaths,Healing Done/(Eliminations + Assists),Final Blows,(Eliminations + Assists)/Deaths,Damage Mitigated/10m,Eliminations,Solo Kills/Final Blows Ratio,Final Blows/10m,Healing Done/10m,Role,map_type,region,phase,stage
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Juno,Team Peps,Xzodyal,7187,71.46,0,89,555,1,0.17,0,0,154.83,11,0,29,513.36,66.36,552.85,7769.73,0.57,0,2.17,0,1.08,929,0.62,6.49,0.07,14.05,0.08,0,31.35,1,1.08,1,0,0,6,0,8,2.33,1004.32,13,0.12,8.65,0,Damage,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Juno,Team Peps,Ken,6619,100,0,83,555,1,0,10.58,0,240,15,2,42,551.58,100,551.58,7155.68,0.42,0,2.4,0,0,1200,0.42,5.41,0,12.97,0,25.4,45.41,0,0,0,127,0,5,10.58,5,2.4,1297.3,12,0,5.41,137.3,Damage,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Juno,Team Peps,Eisgnom,10775,212.65,0,64,555,1,0,55.3,0,1222.75,29,8,60,326.52,148.21,468.48,11648.65,0.18,1.08,5.75,0,0,4891,0.26,4.32,0,24.86,0,318,64.86,0,10.81,10,1272,1,4,38.55,6,8.25,5287.57,23,0,6.49,1375.14,Tank,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Juno,Team Peps,Xeriongdh,4575,0,0,33,555,1,0,704.54,0,0,0,67,41,169.44,0,351.92,4945.95,0.19,0,4.33,0,0,0,0.38,3.24,0,14.05,0,3053,44.32,0,15.14,14,9159,0,3,339.22,5,9,0,13,0,5.41,9901.62,Support,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Juno,Team Peps,Fdgod,4417,75.47,0,42,555,1,0,329.73,0,283,11,47,36,157.75,40.43,294.47,4775.14,0.11,0,3.75,0,0,1132,0.2,4.32,0,16.22,0,1236.5,38.92,0,14.05,13,4946,0,4,176.64,3,7,1223.78,15,0,3.24,5347.03,Support,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Torbjorn,Sakura,Zorrow,7795,0.13,0,100,555,0,0.14,0,0,0.29,0,0,14,519.67,0.13,519.67,8427.03,0.4,0,2.14,0,1.08,2,0.4,7.57,0.07,16.22,0.07,0,15.14,1,0,0,0,0,7,0,6,2.14,2.16,15,0.17,6.49,0,Damage,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Torbjorn,Sakura,China,5599,59.67,0,84,555,0,0,9.87,0,223.75,13,2,43,373.27,59.67,373.27,6052.97,0.2,1.08,3.75,0,0,895,0.2,4.32,0,16.22,0,37,46.49,0,0,0,148,1,4,9.87,3,3.75,967.57,15,0,3.24,160,Damage,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Torbjorn,Sakura,Hitori,7632,480.62,0,47,555,0,0,190.69,0,892.57,38,15,73,331.83,271.65,587.08,8250.81,0.22,0,1.86,0,0,6248,0.38,7.57,0,14.05,0,354.14,78.92,0,10.81,10,2479,0,7,107.78,5,3.29,6754.59,13,0,5.41,2680,Tank,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Torbjorn,Sakura,Strebor,4641,96.89,0,49,555,0,0,448,0,174.4,9,42,14,221,41.52,515.67,5017.3,0.1,0,1.8,0,0,872,0.22,5.41,0,9.73,0,806.4,15.14,0,12.97,12,4032,0,5,192,2,4.2,942.7,9,0,2.16,4358.92,Support,Control,EMEA,Round Robin,S1
EMEA_S1_RR_W4_D2_M1,2025-02-22T18:51:05,1,Samoa,Torbjorn,Sakura,Prota,4294,0,0,28,555,0,0,1255.67,0,0,0,72,26,178.92,0,477.11,4642.16,0.21,0,2.25,0,0,0,0.56,4.32,0,9.73,0,2825.25,28.11,0,16.22,15,11301,0,4,470.88,5,6,0,9,0,5.41,12217.3,Support,Control,EMEA,Round Robin,S1
