region,stage,phase,match_id,match_date,team,player,Damage Dealt,Damage Mitigated/Eliminations,Environmental Kills/10m,Damage as percent of total output,Time Played,Solo Kills/Deaths Ratio,Healing Done/Eliminations,Environmental Kills,Damage Mitigated/Deaths,Damage Mitigated as percent of total output,Healing Done as percent of total output,Objective Time,Damage Dealt/(Eliminations + Assists),Damage Mitigated/(Eliminations + Assists),Damage Dealt/Eliminations,Damage Dealt/10m,Final Blows/(Eliminations + Assists),Multi Kills/10m,K/D Ratio,Solo Kills/Damage Dealt Ratio,Solo Kills/10m,Damage Mitigated,Final Blows/Eliminations,Deaths/10m,Solo Kills/(Eliminations + Assists) Ratio,Eliminations/10m,Solo Kills/Eliminations Ratio,Healing Done/Deaths,Objective Time/10m,Solo Kills,Assists/10m,Assists,Healing Done,Multi Kills,Deaths,Healing Done/(Eliminations + Assists),Final Blows,(Eliminations + Assists)/Deaths,Damage Mitigated/10m,Eliminations,Solo Kills/Final Blows Ratio,Final Blows/10m,Healing Done/10m,Role,Result
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Al qadsiah,Checkmate,60383,597.03,0.0,512,3993.0,0.5,69.85,0.0,1144.3,76,12,381.0,3163.74,571.9200000000001,3290.66,53223.84,2.27,0.66,28.040000000000003,0,1.19,10112,2.35,40.4,0.03,124.38000000000001,0.03,184.12,329.77,1.0,3.75,5,1813,1.0,47,65.85,54.0,28.5,8531.19,139,0.1,47.300000000000004,1357.83,DamageDamageDamageDamageDamageDamage,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Al qadsiah,Haku,28514,2215.27,0.66,163,3993.0,0.0,6115.51,1.0,2358.31,115,321,497.0,902.4100000000001,723.53,2589.36,25281.36,0.41000000000000003,0.0,12.44,0,0.0,21559,0.9199999999999999,49.57,0.0,83.2,0.0,6544.52,432.87,0.0,113.5,128,57117,0.0,56,2002.7,19.0,28.740000000000002,18659.13,94,0.0,15.93,50799.96,SupportSupportSupportSupportSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Al qadsiah,LBBD7,66382,103.14,0.0,585,3993.0,0.2,4.55,0.0,174.54,15,1,314.0,3778.7200000000003,90.76,3860.53,57962.9,1.85,1.85,14.69,0,1.15,2269,1.9100000000000001,49.9,0.05,111.75,0.05,7.69,263.88,1.0,3.51,4,100,2.0,56,4.0,38.0,15.08,1752.12,125,0.14,33.47,77.22,DamageDamageDamageDamageDamageDamage,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Al qadsiah,Landon,27346,0.0,0.0,155,3993.0,0.15,5968.51,0.0,0.0,0,445,319.0,970.8599999999999,0.0,1964.33,25010.449999999997,0.99,1.81,13.92,0,1.54,0,2.0700000000000003,44.86,0.07,88.26,0.14,10644.26,271.83,2.0,101.66,115,84206,2.0,51,3011.42,31.0,29.740000000000002,0.0,98,0.22,28.79,75537.19,SupportSupportSupportSupportSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Al qadsiah,Ziyad,79199,2968.73,0.0,303,3993.0,0.0,935.04,0.0,10312.61,231,66,603.0,2741.26,1929.44,4242.389999999999,71529.96,1.49,6.16,26.53,0,0.0,58626,2.3,39.15,0.0,128.76,0.0,2530.15,533.31,0.0,71.32000000000001,80,17869,7.0,45,601.81,53.0,40.94,54281.56,142,0.0,49.519999999999996,15399.64,TankTankTankTankTankTank,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Virtuspro,Fixa,34121,1190.83,1.54,188,3993.0,0.32,2529.54,2.0,4154.27,132,281,574.0,717.27,507.45,1607.19,29730.16,0.8300000000000001,4.26,23.37,0,2.34,24600,1.82,36.9,0.1,119.02,0.21000000000000002,8245.08,452.6,2.0,149.16,172,50533,5.0,41,1092.6399999999999,39.0,51.7,22165.6,138,0.5800000000000001,34.82,44988.009999999995,SupportSupportSupportSupportSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Virtuspro,Galaa,31299,0.0,0.0,181,3993.0,0.0,3837.56,0.0,0.0,0,419,379.0,744.31,0.0,1661.79,27737.21,0.8,0.66,29.68,0,0.0,0,1.77,31.84,0.0,106.5,0.0,20238.69,319.55,0.0,139.1,162,75468,1.0,35,1684.84,33.0,70.63,0.0,124,0.0,30.68,67227.84,SupportSupportSupportSupportSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Virtuspro,Jaewoo,67856,453.32,0.0,501,3993.0,0.1,49.08,0.0,3118.83,89,11,592.0,2498.3199999999997,426.29,2628.95,60167.56,2.12,4.87,44.16,0,0.77,12956,2.2199999999999998,33.04,0.02,148.69,0.03,409.2,524.65,1.0,7.92,10,1640,5.0,38,45.58,65.0,45.28,11176.06,170,0.08,54.44,1382.78,DamageDamageDamageDamageDamageDamage,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Virtuspro,Shockwave,80831,31.88,0.0,593,3993.0,0.14,0.0,0.0,155.95,7,0,302.0,3593.3100000000004,31.88,3593.3100000000004,72906.78,2.27,3.49,25.79,0,0.77,1095,2.27,37.76,0.03,137.06,0.03,0.0,252.19,1.0,0.0,0,0,4.0,42,0.0,61.0,25.79,856.85,156,0.08,54.83,0.0,DamageDamageDamageDamageDamageDamage,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Virtuspro,Vestola,79500,3201.2999999999997,0.0,286,3993.0,0.0,669.21,0.0,11300.0,251,64,1118.0,2040.8899999999999,2103.4700000000003,3260.04,69803.51,1.27,2.94,29.3,0,0.0,68897,1.97,36.12,0.0,142.78,0.0,3203.78,938.01,0.0,94.59,111,16521,4.0,40,407.44,50.0,49.41,62378.33,166,0.0,42.57,15073.05,TankTankTankTankTankTank,1
