region,stage,phase,match_id,match_date,round_num,map_name,map_type,team,Damage Dealt,Damage Mitigated/Eliminations,Environmental Kills/10m,Damage as percent of total output,Time Played,Solo Kills/Deaths Ratio,Healing Done/Eliminations,Environmental Kills,Damage Mitigated/Deaths,Damage Mitigated as percent of total output,Healing Done as percent of total output,Objective Time,Damage Dealt/(Eliminations + Assists),Damage Mitigated/(Eliminations + Assists),Damage Dealt/Eliminations,Damage Dealt/10m,Final Blows/(Eliminations + Assists),Multi Kills/10m,K/D Ratio,Solo Kills/Damage Dealt Ratio,Solo Kills/10m,Damage Mitigated,Final Blows/Eliminations,Deaths/10m,Solo Kills/(Eliminations + Assists) Ratio,Eliminations/10m,Solo Kills/Eliminations Ratio,Healing Done/Deaths,Objective Time/10m,Solo Kills,Assists/10m,Assists,Healing Done,Multi Kills,Deaths,Healing Done/(Eliminations + Assists),Final Blows,(Eliminations + Assists)/Deaths,Damage Mitigated/10m,Eliminations,Solo Kills/Final Blows Ratio,Final Blows/10m,Healing Done/10m,Role,hero_bans,Result
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,1,Lijiang Tower,Control,Al qadsiah,51636,851.45,0.0,283,3885.0,0.15,1705.94,0.0,1368.95,79,138,486.0,1894.19,563.74,2752.49,39873.35,1.24,0.0,7.5,0,1.54,16367,1.91,47.11,0.07,70.27,0.14,2110.3,375.28000000000003,2.0,40.93,53,26242,0.0,61,826.8499999999999,34.0,11.82,12638.61,91,0.22,26.26,20264.09,DamageDamageTankSupportSupport,Juno,0
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,1,Lijiang Tower,Control,Virtuspro,59042,765.01,1.54,283,3885.0,0.24000000000000002,828.0,2.0,4536.68,109,109,492.0,1156.54,516.64,1624.87,45592.27,1.09,2.31,28.27,0,1.54,31576,1.58,26.259999999999998,0.05,142.09,0.06,4652.71,379.93,2.0,77.22,100,24066,3.0,34,372.5,58.0,46.26,24383.0,184,0.16,44.8,18583.79,DamageDamageTankSupportSupport,Pharah,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,2,Suravasa,Flash,Al qadsiah,32647,500.03,0.0,290,2605.0,0.2,1027.42,0.0,3232.38,67,143,157.0,1139.15,295.78000000000003,1513.47,37597.31,1.12,3.4499999999999997,26.130000000000003,0,1.15,11148,1.5,24.19,0.05,119.75999999999999,0.05,4716.02,180.81,1.0,65.65,57,19647,3.0,21,511.68000000000006,32.0,40.52,12838.39,104,0.14,36.85,22626.1,DamageDamageTankSupportSupport,Illari,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,2,Suravasa,Flash,Virtuspro,31512,856.94,0.0,289,2605.0,0.2,1590.17,0.0,1305.85,67,144,134.0,1999.26,533.4200000000001,2654.4,36290.21,1.28,0.0,9.58,0,1.15,9138,1.6800000000000002,36.85,0.04,66.81,0.1,2679.51,154.32,1.0,40.300000000000004,35,16953,0.0,32,739.4399999999999,21.0,15.26,10523.599999999999,58,0.25,24.18,19523.61,DamageDamageTankSupportSupport,Torbjorn,0
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,3,Dorado,Escort,Al qadsiah,61550,675.56,0.66,281,4560.0,0.0,1442.67,1.0,2210.59,72,147,542.0,1487.82,410.28000000000003,1931.6799999999998,40493.41,1.1,3.95,15.33,0,0.0,21773,1.55,34.2,0.0,102.63,0.0,4122.09,356.58,0.0,56.58,86,40642,6.0,52,689.81,49.0,23.91,14324.34,156,0.0,32.23,26738.16,DamageDamageTankSupportSupport,Dva,0
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,3,Dorado,Escort,Virtuspro,68392,641.75,0.0,295,4560.0,0.0,1251.75,0.0,2021.9699999999998,70,136,842.0,1662.33,354.9,2224.25,44994.74,1.21,3.3000000000000003,16.21,0,0.0,19783,1.62,32.879999999999995,0.0,101.31,0.0,3792.92,553.95,0.0,65.78999999999999,100,35014,5.0,50,548.13,52.0,26.740000000000002,13015.130000000001,154,0.0,34.21,23035.519999999997,DamageDamageTankSupportSupport,Kiriko,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,4,Esperanca,Push,Al qadsiah,26403,475.29,0.0,311,2520.0,0.5,781.06,0.0,4010.67,72,118,340.0,850.45,314.40999999999997,1218.31,31432.14,1.06,2.38,34.3,0,1.19,12351,1.53,23.799999999999997,0.03,129.76,0.03,2727.25,404.76,1.0,63.099999999999994,53,11910,2.0,20,337.32,35.0,47.36,14703.57,109,0.1,41.66,14178.57,DamageDamageTankSupportSupport,Ramattra,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,4,Esperanca,Push,Virtuspro,25071,1560.7599999999998,0.0,303,2520.0,0.12,1027.86,0.0,2515.13,94,103,421.0,2228.7,1091.64,2802.55,29846.43,1.45,0.0,6.97,0,1.19,15510,2.02,41.65,0.06,55.94,0.11,1329.5900000000001,501.18999999999994,1.0,26.18,22,9798,0.0,35,533.96,20.0,10.04,18464.29,47,0.33,23.8,11664.28,DamageDamageTankSupportSupport,Brigitte,0
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,5,Eichenwalde,Hybrid,Al qadsiah,60708,938.54,0.0,274,4290.0,0.0,2394.71,0.0,1635.75,75,150,448.0,1818.54,507.89,2535.6600000000003,42453.15,1.1600000000000001,0.7,8.57,0,0.0,21157,1.43,47.55,0.0,79.72,0.0,2937.67,313.28999999999996,0.0,48.95,70,41250,1.0,68,991.91,36.0,13.68,14795.099999999999,114,0.0,25.18,28846.15,DamageDamageTankSupportSupport,Ana,0
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,5,Eichenwalde,Hybrid,Virtuspro,72414,465.13,0.0,297,4290.0,0.0,989.3,0.0,2638.92,65,138,876.0,1201.52,256.46,1635.83,50639.15,1.15,4.8999999999999995,30.11,0,0.0,20335,1.5,25.18,0.0,149.66,0.0,5046.6900000000005,612.5899999999999,0.0,97.19999999999999,139,37565,7.0,36,441.84000000000003,66.0,48.35,14220.279999999999,214,0.0,46.16,26269.230000000003,DamageDamageTankSupportSupport,Tracer,1
