region,stage,phase,match_id,match_date,team,Damage Dealt,Damage Mitigated/Eliminations,Environmental Kills/10m,Damage as percent of total output,Time Played,Solo Kills/Deaths Ratio,Healing Done/Eliminations,Environmental Kills,Damage Mitigated/Deaths,Damage Mitigated as percent of total output,Healing Done as percent of total output,Objective Time,Damage Dealt/(Eliminations + Assists),Damage Mitigated/(Eliminations + Assists),Damage Dealt/Eliminations,Damage Dealt/10m,Final Blows/(Eliminations + Assists),Multi Kills/10m,K/D Ratio,Solo Kills/Damage Dealt Ratio,Solo Kills/10m,Damage Mitigated,Final Blows/Eliminations,Deaths/10m,Solo Kills/(Eliminations + Assists) Ratio,Eliminations/10m,Solo Kills/Eliminations Ratio,Healing Done/Deaths,Objective Time/10m,Solo Kills,Assists/10m,Assists,Healing Done,Multi Kills,Deaths,Healing Done/(Eliminations + Assists),Final Blows,(Eliminations + Assists)/Deaths,Damage Mitigated/10m,Eliminations,Solo Kills/Final Blows Ratio,Final Blows/10m,Healing Done/10m,Role,Result
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Al qadsiah,261824,5884.17,0.66,1718,19965.0,0.85,13093.46,1.0,13989.76,437,845,2114.0,11556.99,3315.65,15947.27,233008.51,7.01,10.48,95.62,0,3.88,92566,9.55,223.88,0.15000000000000002,536.35,0.22000000000000003,19910.739999999998,1831.66,4.0,293.74,332,161105,12.0,255,5685.78,195.0,143.0,83224.0,598,0.46,175.01,143171.84,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_GF_M1,2025-03-09T21:34:47,Virtuspro,293607,4877.33,1.54,1749,19965.0,0.56,7085.39,2.0,18729.05,479,775,2965.0,9594.1,3069.09,12751.28,260345.22,7.29,16.22,152.3,0,3.88,107548,10.05,175.66,0.15,654.05,0.27,32096.75,2487.0,4.0,390.77,455,144162,19.0,196,3230.5,248.0,242.81,96576.84,754,0.74,217.34,128671.68,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_LBF_M1,2025-03-09T19:05:21,Al qadsiah,158026,2143.64,0.0,824,12500.0,0.99,3487.84,0.0,8784.13,259,419,1489.0,3989.09,1359.26,5328.85,115360.69,3.67,5.68,57.75,0,5.43,67683,4.95,85.92,0.22,321.74,0.27,13098.470000000001,1029.47,7.0,177.73,248,94802,8.0,119,1725.69,148.0,90.89,47153.4,446,0.75,107.12,69078.69,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_LBF_M1,2025-03-09T19:05:21,The Ultimates,165086,2823.3,0.0,881,12500.0,0.73,4983.25,0.0,5495.110000000001,223,397,1452.0,5340.97,1627.1399999999999,7669.37,119672.43000000001,3.88,1.6,32.71,0,5.25,58656,5.27,109.3,0.28,236.76,0.3,8237.33,1028.73,7.0,133.82,182,81845,2.0,151,2329.14,117.0,50.49,40941.09,324,0.65,84.54,59959.82,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S1,Playoffs,EMEA_S1_PO_LBQF_M1,2025-03-02T20:01:00,Team Peps,192892,3330.08,0.0,1143,15015.0,2.1,6856.87,0.0,12677.300000000001,315,540,2078.0,6708.87,2165.67,9330.92,153913.07,5.62,3.56,70.2,0,12.48,76428,7.16,127.52,0.65,344.32,0.7000000000000001,17423.68,1718.01,15.0,194.46,247,107230,4.0,163,2868.9,163.0,114.97,60234.17,439,1.63,129.56,84949.8,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_LBQF_M1,2025-03-02T20:01:00,The Ultimates,199914,3453.44,0.0,1139,15015.0,0.75,9241.52,0.0,9491.42,273,589,1593.0,8132.55,2363.87,11130.74,158367.45,5.6000000000000005,0.74,59.44,0,4.34,68209,7.11,129.53,0.3,350.69,0.34,14848.8,1270.84,5.0,193.87,252,112173,1.0,163,3732.0,163.0,91.73,53431.36,450,0.5900000000000001,127.51,89739.14,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_LBQF_M2,2025-03-02T18:22:54,GenG,79887,9327.67,0.0,863,7945.0,0.14,12164.51,0.0,4468.139999999999,220,416,502.0,14509.43,7145.05,18425.43,90533.68,4.38,0.0,10.41,0,0.91,32895,5.99,122.17,0.12,79.5,0.12,6799.0199999999995,558.3199999999999,1.0,38.74,32,43918,0.0,107,5620.639999999999,27.0,15.74,35976.57,68,0.2,30.97,51058.18,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S1,Playoffs,EMEA_S1_PO_LBQF_M2,2025-03-02T18:22:54,Twisted Minds,96462,1630.54,0.0,893,7945.0,2.17,3965.06,0.0,21106.33,196,412,850.0,3400.08,886.17,4708.23,109919.29,3.68,2.3,179.01,0,4.2,32388,5.14,30.97,0.13,334.94,0.18,40446.83,899.3199999999999,4.0,191.73,168,54035,2.0,27,1619.24,106.0,298.34000000000003,35057.65,293,0.38,120.72,61484.61,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_LBSF_M1,2025-03-08T19:00:28,The Ultimates,119310,3091.43,0.83,864,9740.0,0.62,5012.39,1.0,9159.43,235,403,605.0,4663.57,1791.96,6447.67,112898.53,3.55,2.49,65.45,0,2.46,49471,4.85,68.43,0.11000000000000001,273.13,0.15000000000000002,15830.86,522.55,3.0,162.69,171,70207,3.0,74,2146.62,94.0,101.71000000000001,45321.23,282,0.56,89.0,67099.45,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_LBSF_M1,2025-03-08T19:00:28,Twisted Minds,120473,3293.1,1.27,888,9740.0,1.12,5880.04,1.0,8317.45,217,394,452.0,6616.96,1897.33,9207.32,113644.86,3.73,5.47,32.31,0,5.3,43934,5.12,91.93,0.43,189.97,0.45,11064.54,384.57,6.0,124.75,131,63833,5.0,97,2447.71,72.0,53.8,40085.37,201,1.1,65.92,59815.47,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S1,Playoffs,EMEA_S1_PO_UBF_M1,2025-03-08T20:30:08,Al qadsiah,185699,4251.91,0.0,1070,14995.0,0.32,8314.48,0.0,9333.95,349,580,1686.0,6441.77,2497.71,9116.37,149393.88999999998,4.55,5.4799999999999995,50.02,0,2.17,79225,6.42,140.79,0.12,338.77,0.14,13148.0,1379.14,3.0,195.71,237,115461,7.0,176,3811.61,134.0,77.68,62661.04,410,0.54,109.94,93213.94,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_UBF_M1,2025-03-08T20:30:08,Virtuspro,204528,2681.4,0.0,1156,14995.0,1.09,5393.9400000000005,0.0,14771.48,308,539,2438.0,5812.900000000001,1555.75,7797.04,164519.01,4.95,13.11,87.6,0,5.75,77082,6.58,110.84,0.21000000000000002,413.92,0.31,18814.77,2008.18,7.0,251.78,313,111165,15.0,135,2308.39,174.0,141.95,60519.36,514,0.8500000000000001,139.36,88931.76000000001,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_UBSF_M1,2025-03-01T18:51:09,GenG,175141,4169.7,2.06,1097,14085.0,0.36,8086.7300000000005,2.0,8753.89,322,581,2580.0,6859.44,2228.46,9477.130000000001,150233.07,4.23,5.1,45.05,0,2.8,70142,5.33,146.92000000000002,0.11,314.90999999999997,0.14,14855.32,2045.97,3.0,195.32,227,119037,6.0,173,3489.7799999999997,109.0,73.4,58538.29,365,0.36000000000000004,92.9,102209.31,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_UBSF_M1,2025-03-01T18:51:09,Virtuspro,204551,2164.35,0.0,1168,14085.0,0.5700000000000001,4663.7,0.0,9900.65,277,555,2207.0,5346.34,1258.3899999999999,7253.88,174493.66,4.63,25.919999999999998,108.79,0,2.2399999999999998,59994,6.07,97.01,0.05,467.86,0.09,22612.77,1753.3,3.0,266.21,320,107522,32.0,113,2220.62,172.0,168.68,50868.67,548,0.31,146.18,92235.24,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_UBSF_M2,2025-03-01T19:55:11,Al qadsiah,124053,2934.55,0.0,809,9740.0,1.65,4058.19,0.0,11414.51,279,411,761.0,4136.33,1825.68,5568.3099999999995,116496.12,3.92,3.27,76.05,0,5.82,63672,5.0200000000000005,73.14,0.2,305.89,0.26,14014.52,655.61,6.0,165.35,172,70912,3.0,80,1872.8,116.0,111.34,56030.62,323,0.7100000000000001,110.89,65804.69,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Playoffs,EMEA_S1_PO_UBSF_M2,2025-03-01T19:55:11,Team Peps,121188,2753.8900000000003,0.0,868,9740.0,0.68,5428.61,0.0,6312.9,212,417,882.0,6146.06,1853.52,8636.64,111636.1,3.91,2.2199999999999998,27.41,0,4.99,46022,5.15,113.26,0.3,196.82,0.41000000000000003,8741.75,741.6800000000001,6.0,104.99000000000001,108,63998,2.0,118,2591.8,77.0,42.519999999999996,39225.76,211,1.4,70.35,59901.03,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D1_M1,2025-01-31T19:17:07,GenG,131205,6827.97,0.66,1255,13720.0,0.77,9781.51,1.0,5630.700000000001,325,421,1351.0,18030.21,5817.77,20108.85,115662.3,4.62,0.0,34.63,0,5.05,42493,5.46,143.61,0.38,201.22,0.39,8318.720000000001,1153.39,7.0,72.17,102,60928,0.0,155,6564.04,106.0,46.96,37803.1,286,0.81,75.11,51398.24,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D1_M1,2025-01-31T19:17:07,Virtuspro,144576,1788.7,0.0,1219,13720.0,3.45,4265.51,0.0,11228.89,301,480,1430.0,4921.24,1325.26,6494.51,126043.09999999999,5.63,3.86,110.25,0,11.92,45153,7.39,76.46,0.49,390.82,0.56,18518.42,1194.03,12.0,167.21,184,67068,5.0,108,2157.48,155.0,157.4,38387.42,431,1.6,143.59,65223.07,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D1_M2,2025-01-31T20:15:55,Al qadsiah,100416,3144.33,0.8,868,9295.0,0.33999999999999997,8534.09,1.0,3980.96,242,391,853.0,7067.45,2335.95,9454.51,96649.12,3.94,0.0,19.68,0,2.4000000000000004,36541,4.92,130.79,0.15,162.16,0.15,6860.79,855.26,3.0,67.76,72,59359,0.0,133,3976.0,62.0,27.73,34690.76,175,0.38,57.33,57463.98,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D1_M2,2025-01-31T20:15:55,Team Peps,119943,1166.1,0.0,941,9295.0,1.69,2917.65,0.0,8736.24,197,362,729.0,3499.09,912.6,4599.88,116516.20999999999,3.83,0.8,135.06,0,5.18,30769,4.93,58.129999999999995,0.18,383.0,0.23,15060.73,727.52,6.0,160.73,159,59058,1.0,63,1385.58,133.0,185.05,28861.28,387,0.7,130.78,57228.29,TankDamageDamageSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D1_M3,2025-01-31T21:52:13,Sakura,140835,2620.24,0.0,1265,13865.0,0.9500000000000001,7436.52,0.0,4569.83,277,459,1064.0,6821.54,1870.14,10422.619999999999,121159.03,5.37,0.0,40.25,0,5.72,38005,7.5200000000000005,147.69,0.41000000000000003,253.02,0.42,8592.28,869.41,7.0,132.64,153,61555,0.0,163,2765.21,114.0,61.7,35103.3,298,0.81,97.31,52989.33,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D1_M3,2025-01-31T21:52:13,The Ultimates,146938,3091.2,0.0,1202,13865.0,2.64,5205.98,0.0,15946.81,344,453,1282.0,4992.43,1831.82,6982.16,128632.94,5.68,1.72,110.04,0,7.890000000000001,60926,7.47,97.28999999999999,0.31,372.06,0.34,11482.74,1094.8700000000001,10.0,183.36,200,65220,2.0,114,2054.38,163.0,157.15,50738.5,412,0.88,147.69,56134.84,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D2_M1,2025-02-01T19:40:14,Al qadsiah,207472,3384.95,1.65,1461,19000.0,1.4700000000000002,6677.08,2.0,8535.8,410,629,1483.0,7394.18,2310.01,9633.0,164699.14,6.8,2.84,63.84,0,9.87,72417,8.61,182.76,0.44,440.31,0.47,13038.6,1152.48,13.0,200.82,248,114410,4.0,232,3211.25,199.0,93.32000000000001,57296.61,547,1.02,159.37,89837.25,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D2_M1,2025-02-01T19:40:14,Vision Esports,203109,2639.06,2.31,1525,16966.0,3.1,7458.13,3.0,7147.18,348,627,1691.0,7386.71,2165.52,9857.87,177322.01,7.32,2.76,89.07,0,17.55,54628,9.0,161.29,0.79,478.65,0.91,16846.81,1447.94,22.0,220.98,220,93402,4.0,180,2910.81,209.0,132.6,48201.37,530,2.58,185.76,88357.66,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D2_M2,2025-02-01T20:59:10,GenG,122676,1864.42,3.13,1229,12330.0,2.92,4648.11,2.0,10632.71,263,509,961.0,5452.54,1418.3,7031.05,121338.23999999999,5.45,0.0,119.44,0,8.46,36478,6.7700000000000005,85.03999999999999,0.34,371.88,0.45,16205.27,872.41,9.0,131.36,128,62329,0.0,91,2366.16,125.0,154.97,35542.45,351,1.8900000000000001,128.61,63603.44,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S1,Round Robin,EMEA_S1_RR_W1_D2_M2,2025-02-01T20:59:10,Twisted Minds,135409,4354.7699999999995,0.0,1251,12330.0,0.78,9014.19,0.0,5848.01,263,487,1350.0,10669.9,3156.52,14541.49,127482.65,6.29,0.91,45.76,0,5.32,41616,8.16,133.14,0.47000000000000003,215.89,0.51,8850.02,1151.18,7.0,104.47,111,55902,1.0,128,3604.41,91.0,64.22,38397.74,229,0.93,85.07000000000001,55689.2,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
